index,instruction_len_words,input_len_words,output_len_words,instruction_sents,input_sents,output_sents,instruction_readability,flagged_suicide_in_instruction,flagged_suicide_in_input,flagged_suicide_in_output,instr_emails,instr_phones,input_emails,input_phones,output_emails,output_phones,__split__
0,16,107,99,1,8,6,,False,False,False,[],[],[],[],[],[],train
1,16,99,92,1,5,5,,False,False,False,[],[],[],[],[],[],train
2,16,95,78,1,7,4,,False,False,False,[],[],[],[],[],[],train
3,16,125,107,1,7,6,,False,False,False,[],[],[],[],[],[],train
4,16,65,87,1,5,6,,False,False,False,[],[],[],[],[],[],train
5,16,105,99,1,7,7,,False,False,False,[],[],[],[],[],[],train
6,16,86,67,1,6,4,,False,False,False,[],[],[],[],[],[],train
7,16,80,78,1,7,7,,False,False,False,[],[],[],[],[],[],train
8,16,92,73,1,5,6,,False,False,False,[],[],[],[],[],[],train
9,16,99,92,1,6,6,,False,False,False,[],[],[],[],[],[],train
10,16,97,108,1,7,6,,False,False,False,[],[],[],[],[],[],train
11,16,93,96,1,7,4,,False,False,False,[],[],[],[],[],[],train
12,16,102,96,1,5,6,,False,False,False,[],[],[],[],[],[],train
13,16,100,61,1,6,5,,False,False,False,[],[],[],[],[],[],train
14,16,98,119,1,7,8,,False,False,False,[],[],[],[],[],[],train
15,16,79,82,1,6,5,,False,False,False,[],[],[],[],[],[],train
16,16,99,60,1,8,5,,False,False,False,[],[],[],[],[],[],train
17,16,82,82,1,7,5,,False,False,False,[],[],[],[],[],[],train
18,16,88,101,1,6,6,,False,False,False,[],[],[],[],[],[],train
19,16,100,90,1,6,7,,False,False,False,[],[],[],[],[],[],train
20,16,85,85,1,6,5,,False,False,False,[],[],[],[],[],[],train
21,16,89,98,1,7,6,,False,False,False,[],[],[],[],[],[],train
22,16,100,93,1,6,5,,False,False,False,[],[],[],[],[],[],train
23,16,94,62,1,7,4,,False,False,False,[],[],[],[],[],[],train
24,16,104,93,1,6,6,,False,False,False,[],[],[],[],[],[],train
25,16,94,86,1,7,4,,False,False,False,[],[],[],[],[],[],train
26,16,100,95,1,7,5,,False,False,False,[],[],[],[],[],[],train
27,16,71,88,1,5,5,,False,False,False,[],[],[],[],[],[],train
28,16,88,99,1,7,6,,False,False,False,[],[],[],[],[],[],train
29,16,116,94,1,6,7,,False,False,False,[],[],[],[],[],[],train
30,16,78,81,1,6,6,,False,False,False,[],[],[],[],[],[],train
31,16,96,78,1,6,5,,False,False,False,[],[],[],[],[],[],train
32,16,73,71,1,6,6,,False,False,False,[],[],[],[],[],[],train
33,16,97,126,1,6,8,,False,False,False,[],[],[],[],[],[],train
34,16,97,92,1,7,6,,False,False,False,[],[],[],[],[],[],train
35,16,85,90,1,7,5,,False,False,False,[],[],[],[],[],[],train
36,16,72,76,1,6,5,,False,False,False,[],[],[],[],[],[],train
37,16,120,97,1,8,7,,False,False,False,[],[],[],[],[],[],train
38,16,89,83,1,7,6,,False,False,False,[],[],[],[],[],[],train
39,16,86,85,1,6,5,,False,False,False,[],[],[],[],[],[],train
40,16,82,91,1,5,6,,False,False,False,[],[],[],[],[],[],train
41,16,89,98,1,6,5,,False,False,False,[],[],[],[],[],[],train
42,16,145,108,1,7,6,,False,False,False,[],[],[],[],[],[],train
43,16,109,80,1,8,5,,False,False,False,[],[],[],[],[],[],train
44,16,85,88,1,7,6,,False,False,False,[],[],[],[],[],[],train
45,16,80,117,1,6,6,,False,False,False,[],[],[],[],[],[],train
46,16,76,61,1,5,4,,False,False,False,[],[],[],[],[],[],train
47,16,90,77,1,7,5,,False,False,False,[],[],[],[],[],[],train
48,16,85,84,1,6,5,,False,False,False,[],[],[],[],[],[],train
49,16,123,91,1,7,6,,False,False,False,[],[],[],[],[],[],train
50,16,64,75,1,4,5,,False,False,False,[],[],[],[],[],[],train
51,16,106,128,1,8,7,,False,False,False,[],[],[],[],[],[],train
52,16,109,89,1,7,5,,False,False,False,[],[],[],[],[],[],train
53,16,87,86,1,6,6,,False,False,False,[],[],[],[],[],[],train
54,16,107,90,1,5,5,,False,False,False,[],[],[],[],[],[],train
55,16,106,89,1,5,5,,False,False,False,[],[],[],[],[],[],train
56,16,85,87,1,5,5,,False,False,False,[],[],[],[],[],[],train
57,16,103,97,1,7,7,,False,False,False,[],[],[],[],[],[],train
58,16,95,87,1,7,5,,False,False,False,[],[],[],[],[],[],train
59,16,123,66,1,8,4,,False,False,False,[],[],[],[],[],[],train
60,16,85,101,1,6,5,,False,False,False,[],[],[],[],[],[],train
61,16,102,96,1,8,7,,False,False,False,[],[],[],[],[],[],train
62,16,85,62,1,5,5,,False,False,False,[],[],[],[],[],[],train
63,16,90,69,1,6,4,,False,False,False,[],[],[],[],[],[],train
64,16,95,120,1,6,8,,False,False,False,[],[],[],[],[],[],train
65,16,115,159,1,7,8,,False,False,False,[],[],[],[],[],[],train
66,16,81,83,1,5,6,,False,False,False,[],[],[],[],[],[],train
67,16,81,67,1,4,4,,False,False,False,[],[],[],[],[],[],train
68,16,100,85,1,8,5,,False,False,False,[],[],[],[],[],[],train
69,16,93,81,1,5,6,,False,False,False,[],[],[],[],[],[],train
70,16,104,112,1,6,5,,False,False,False,[],[],[],[],[],[],train
71,16,95,116,1,7,7,,False,False,False,[],[],[],[],[],[],train
72,16,89,96,1,5,5,,False,False,False,[],[],[],[],[],[],train
73,16,89,59,1,8,4,,False,False,False,[],[],[],[],[],[],train
74,16,119,81,1,8,5,,False,False,False,[],[],[],[],[],[],train
75,16,81,78,1,6,4,,False,False,False,[],[],[],[],[],[],train
76,16,92,94,1,5,6,,False,False,False,[],[],[],[],[],[],train
77,16,95,90,1,7,4,,False,False,False,[],[],[],[],[],[],train
78,16,108,93,1,8,5,,False,False,False,[],[],[],[],[],[],train
79,16,113,88,1,7,5,,False,False,False,[],[],[],[],[],[],train
80,16,85,90,1,5,5,,False,False,False,[],[],[],[],[],[],train
81,16,102,106,1,6,7,,False,False,False,[],[],[],[],[],[],train
82,16,80,79,1,6,5,,False,True,True,[],[],[],[],[],[],train
83,16,76,99,1,5,5,,False,False,False,[],[],[],[],[],[],train
84,16,95,99,1,8,7,,False,False,False,[],[],[],[],[],[],train
85,16,116,80,1,7,5,,False,False,False,[],[],[],[],[],[],train
86,16,99,68,1,5,4,,False,False,False,[],[],[],[],[],[],train
87,16,103,97,1,7,8,,False,False,False,[],[],[],[],[],[],train
88,16,82,82,1,5,4,,False,False,False,[],[],[],[],[],[],train
89,16,87,83,1,7,5,,False,False,False,[],[],[],[],[],[],train
