output,input,instruction,__split__,index,instruction_len_words,input_len_words,output_len_words,instruction_sents,input_sents,output_sents,instruction_readability,flagged_suicide_in_instruction,flagged_suicide_in_input,flagged_suicide_in_output,instr_emails,instr_phones,input_emails,input_phones,output_emails,output_phones,__split__
"Thank you for sharing your feelings with me. It's important to acknowledge when you're feeling down or having trouble concentrating. It's good to hear that you haven't lost interest in things that you usually enjoy, and that you haven't had thoughts of suicide or self-harm. Can you please provide more information about your current situation, daily routines, and any recent changes or stressors in your life? This will help me better understand your situation and provide appropriate support.","Lately, I've been feeling down and having trouble concentrating. I don't have much energy, and I've been oversleeping. It's been going on for a few weeks now, but I haven't really lost interest in things I usually enjoy. It's just harder to get myself motivated lately. My appetite seems pretty much the same and I haven't noticed a significant weight change. I haven't had any thoughts of suicide or self-harm, but I am feeling a bit frustrated with myself.","If you are a counsellor, please answer the questions based on the description of the patient.",train,82,16,80,79,1,6,5,,False,True,True,[],[],[],[],[],[],train
"I'm sorry to hear that you've been feeling down and struggling with your mood. It's good to know that you're still managing to get through your day-to-day activities and not experiencing any difficulty in concentration or making decisions. Missing out on your favorite hobbies can definitely be frustrating, especially when you're dealing with these feelings. Can you share more about the nature of your feelings of guilt and whether any specific event is triggering these feelings? It would also be helpful to know how long you've been experiencing these symptoms and if there are any significant stressors in your life lately.","Lately, I have been feeling really down and not enjoying the things I used to. My energy levels have dropped, but I still manage to get through work and my household chores. A couple of weeks ago I lost interest in my favorite hobbies, and my appetite has reduced, but I have managed not to lose a lot of weight. My sleep has been disturbed; I have trouble falling asleep, but eventually I do get some rest. It's been affecting my mood and it's really tough. I sometimes feel guilty about things, but that's it. I haven't had any trouble concentrating or making decisions, and I haven't had any thoughts of self-harm or suicide.","If you are a counsellor, please answer the questions based on the description of the patient.",train,93,16,115,103,1,7,5,,False,True,False,[],[],[],[],[],[],train
"Thank you for sharing your feelings with me. It sounds like you are going through a challenging time. I'd like to ask you some more questions and get a better understanding of your situation, so we can explore how to best support you. Can you tell me if there has been any change in your daily routine or if there are any specific events that may have triggered these feelings? Additionally, have you experienced any thoughts of worthlessness or guilt, or have any thoughts of self-harm or suicide crossed your mind?","For the past few weeks, I've been feeling a bit down and lacking energy. My appetite has also changed and I find myself wanting to eat more than usual. At night, I have trouble sleeping, and when I finally do sleep, I wake up feeling exhausted. I used to enjoy painting as a hobby, but now I just feel like doing nothing all day and I'm not interested in painting anymore.","If you are a counsellor, please answer the questions based on the description of the patient.",train,95,16,71,92,1,4,5,,False,False,True,[],[],[],[],[],[],train
"I can see that you're going through a difficult time right now. It's important to acknowledge these feelings and seek help when needed, so I applaud you for reaching out. You mentioned that you're constantly tired, losing interest in hobbies, and struggling to find joy in life. In order to better understand your situation, could you please provide more details about the duration of these symptoms? Also, it would be helpful to know if there are any other symptoms you've been experiencing, such as feelings of worthlessness, difficulty concentrating, or thoughts of self-harm or suicide. Please share more information so we can best support you.","Lately, I've been feeling really down and it's been affecting my daily life. I'm constantly tired, even though I'm sleeping much more than usual. I've lost interest in my regular hobbies and I barely find joy in anything anymore. I've also noticed that I tend to gain weight, but it's not too significant. I'm not sure if it's just a phase or something more serious, but I've never experienced anything like this before.","If you are a counsellor, please answer the questions based on the description of the patient.",train,97,16,73,106,1,5,6,,False,False,True,[],[],[],[],[],[],train
"Thank you for sharing your feelings with me. It's important to acknowledge when you're feeling down or unable to enjoy the things you once loved. I'd like to ask you a few more questions to better understand your situation. Could you please provide more details about your daily routine, your work environment, and any recent significant events in your life that may be contributing to your feelings of anxiety and sadness? It would also be helpful to know if you've experienced any physical symptoms or changes in your daily functioning.","Lately, I've been feeling down and I don't know why. I just can't seem to enjoy the things I used to love. It's been like this for a couple of weeks now. I also find it difficult to concentrate on my work, but I sleep well and my appetite hasn't changed. My friends and family have noticed that I'm not as social as before. And I often feel anxious, though I don't have any thoughts of self-harm or suicide.","If you are a counsellor, please answer the questions based on the description of the patient.",train,107,16,80,90,1,6,5,,False,True,False,[],[],[],[],[],[],train
"It's important to recognize that everyone goes through difficult times and experiences periods of sadness, but it's also important to reach out for help when you feel overwhelmed or if these feelings persist. From what you've shared, I can see that you're experiencing some challenges with your mood, sleep, and appetite. It would be helpful to gather more information about the length of time you've been experiencing these symptoms and any additional details you could provide. Talking to a mental health professional can help better understand your situation and provide the appropriate support and guidance.","Lately, I've been feeling really down. I've been struggling with my sleep; I either sleep too much or can't sleep at all. I also noticed that I've been eating more than usual, as if I'm trying to comfort myself with food. My friends say I seem more irritable and have less energy than before. I've been finding it hard to concentrate at work and I feel like I'm a burden to everyone around me. But I haven't had any thoughts of self-harm or suicide. Is it normal to feel this way?","If you are a counsellor, please answer the questions based on the description of the patient.",train,112,16,92,95,1,7,4,,False,True,False,[],[],[],[],[],[],train
"It's important to acknowledge the feelings you're experiencing and to seek support. It seems you're going through a difficult time and dealing with feelings of sadness. However, I also noticed that you mentioned there are some aspects, like concentration and work performance, that you don't see as severely impacted. Could you please provide more details about your emotions, and tell me if there are any other symptoms or changes you've observed in yourself?","Lately, I've been feeling pretty down and discouraged. I've lost interest in most things I used to enjoy, like playing sports or hanging out with friends. I've gained some weight, and I have trouble sleeping sometimes. I feel tired all the time, although I don't think I have any problems with my concentration. Things have been tough at work, but I don't think it's affecting my performance too much. I've never thought about suicide, but sometimes I just wish I could escape all the stress and sadness I'm experiencing.","If you are a counsellor, please answer the questions based on the description of the patient.",train,116,16,89,73,1,6,4,,False,True,False,[],[],[],[],[],[],train
"Thank you for sharing your experience. It must be challenging to have these mood swings and difficulties concentrating. I would like to know more about how long these symptoms have been occurring and if there have been any other instances of you hearing or seeing things that other people don't experience. Additionally, could you please provide more details about your recent low mood and if you have had any thoughts of self-harm or suicide? Knowing more about these feelings will help me understand your situation better and offer appropriate support.","Lately, I've been experiencing mood swings and difficulty concentrating. About two weeks ago, I was feeling extremely happy and full of energy, and I barely needed any sleep. I even tried to write a novel during that time. Last week, though, I suddenly felt really down and couldn't bring myself to do anything. On top of that, I often have trouble distinguishing between reality and my imagination. For example, the other day, I thought someone was talking to me from a distance, but there was no one around. I also had this strange feeling that I was being followed, even though I couldn't see anyone.","If you are a counsellor, please answer the questions based on the description of the patient.",train,122,16,105,91,1,7,5,,False,False,True,[],[],[],[],[],[],train
"Thank you for sharing your feelings and experiences with me. It's important to acknowledge that having emotional ups and downs is a common human experience. However, I understand that it may be causing you distress. To help you better, could you please provide more information about the duration and frequency of these mood swings? Have there been any significant changes or stressors recently? Have you ever had thoughts of self-harm or suicide during your low moments?","Lately, I've been feeling really emotional and my mood seems to be all over the place. There are days when I feel extremely productive, happy, and full of energy, but then I also have days where I feel down and just don't want to do anything. However, the happy days don't seem too excessive, and sometimes, when I'm feeling low, I can still do some tasks and hang out with my friends. Last month, my friends and I went on a camping trip and I was really struggling with feeling low, but I still went and had some good moments during the trip. Can you help me understand what's going on?","If you are a counsellor, please answer the questions based on the description of the patient.",train,239,16,111,77,1,5,6,,False,False,True,[],[],[],[],[],[],train
"It's natural to have such feelings given your experiences with your father and your relationship with Patrick. Your emotional reactions, like tears and welling up, are normal and appropriate in this situation. It's important to acknowledge these feelings and work on changing thoughts that do not fit with the reality of who you truly are.","I feel like I can't go on like this. I'm struggling with the idea that I'm a total failure, worthless, and a nobody. But, honestly, I don't think that's the complete truth about myself.","If you are a counsellor, please answer the questions based on the description of the patient.",train,4266,16,34,55,1,3,3,,False,True,False,[],[],[],[],[],[],train
