output,input,instruction,__split__,index,instruction_len_words,input_len_words,output_len_words,instruction_sents,input_sents,output_sents,instruction_readability,flagged_suicide_in_instruction,flagged_suicide_in_input,flagged_suicide_in_output,instr_emails,instr_phones,input_emails,input_phones,output_emails,output_phones,__split__
"It's great that you're considering quitting smoking and involving your husband as well. It will indeed require willpower, but there are various resources available to help you, such as smoking aids that can make the process easier. Have you and your husband looked into any of these aids yet?","I want to quit smoking, but I think it will take a lot of willpower. I am thinking of speaking to my husband about it and try to get him to quit as well. But I don't know how to do that.","If you are a counsellor, please answer the questions based on the description of the patient.",train,2126,16,42,49,1,3,3,,False,False,False,[],[],[],[],[],[],train
"It's clear that your mother was a special person in your life, who offered encouragement and helped you view yourself in a more positive light. It's natural to miss her, especially during challenging times. If you're comfortable, could you share more about the qualities in her that you admired, so you can channel that resilience she saw in you?","I had a situation when I was called stubborn by someone, but my mom took me aside and told me not to listen to them, and that I am tenacious. She was a wonderful person and protective towards me, and I really miss her.","If you are a counsellor, please answer the questions based on the description of the patient.",train,4270,16,44,59,1,2,3,,False,False,False,[],[],[],[],[],[],train
"It seems like you have a couple of options here - either find a way to be at peace with your situation or consider discussing it with your sons. Since this is the first time you've talked about it, maybe we need some more conversations to help you think about what it would be like having this discussion with your sons. It's important to weigh the potential benefits of sharing your thoughts against any possible consequences.","I'm struggling with understanding certain aspects of my life, and I'm not at peace with it. I am considering having a conversation with my sons about these issues, but I'm not sure if that would help.","If you are a counsellor, please answer the questions based on the description of the patient.",train,4894,16,36,75,1,2,3,,False,False,False,[],[],[],[],[],[],train
"I'm glad to hear that you have developed coping strategies to deal with people calling you by your birth name. It shows great resilience. As you mentioned that the issue is mostly related to your job, could you please share more details about how it is specifically affecting your work environment or relationships with coworkers?","I've been dealing with people calling me by my birth name, but it doesn't really affect me. When I transform like this, I've programmed my mind to prepare for certain circumstances that come along the way, and this is one of them. However, it's mostly related to my job.","If you are a counsellor, please answer the questions based on the description of the patient.",train,6690,16,49,55,1,3,3,,False,False,False,[],[],[],[],[],[],train
"I understand that dealing with a disease can be overwhelming, and it's natural to feel helpless at times. However, it's important to focus on the things you can control, like your attitude, self-care, and seeking support. Are there any specific concerns or aspects of the disease that you're finding particularly challenging?","I have been dealing with this disease and although I went on disability and took medications, I still feel helpless and wish there was something I could do to fight it.","If you are a counsellor, please answer the questions based on the description of the patient.",train,1320,16,31,52,1,1,3,,False,False,False,[],[],[],[],[],[],train
"I recall when you first came for treatment, you were weighing yourself several times a day, which contributed to your unhappiness about your weight. We decided to experiment by weighing you only once a week, and although it was difficult at first, you eventually felt relieved not thinking about your weight all the time. How is your current relationship with tracking your weight?","I've been keeping track of my weight because it just happens, and I don't know what to do about it.","If you are a counsellor, please answer the questions based on the description of the patient.",train,5882,16,20,63,1,1,3,,False,False,False,[],[],[],[],[],[],train
"It's possible that there could be various reasons for this change in your friend's behavior. One option is to reach out and initiate a conversation with Linda, asking her if everything is alright and if there's any specific reason why she hasn’t been coming for coffee lately. This way, you can have a better understanding of the situation and hopefully reconnect with your friend.","I used to have coffee with my friend Linda, but she doesn't come to see me anymore. I'm not sure why there has been a change.","If you are a counsellor, please answer the questions based on the description of the patient.",train,2835,16,26,65,1,2,3,,False,False,False,[],[],[],[],[],[],train
"It seems like you are facing challenges with concentration and organization in school, which is impacting your academic performance and self-esteem. I understand it must be difficult for you to navigate through your schoolwork when your creativity is not being fully utilized. Have you considered talking to your teachers or school counselor about getting additional support or accommodations to help manage these issues better?","I am really struggling with my focus in school. I'm very creative, but I can't remember what I do at school when I get home. My assignments don't always get turned in, even though I'm not doing it on purpose. My teachers are frustrated and it's affecting my self-esteem. I also have difficulty with homework at home.","If you are a counsellor, please answer the questions based on the description of the patient.",train,5140,16,58,65,1,5,3,,False,False,False,[],[],[],[],[],[],train
It sounds like you're going through a tough time with your parents' constant arguments and not feeling understood. It's great that you have a supportive friend like Mariam who understands you without you needing to explain yourself. I understand that losing your MySpace account must have been difficult. Has the way your parents treat you affected other aspects of your life?,"I feel like my parents are always arguing and it seems like nothing I do is good enough for them. No one understands me, except for my friend Mariam. She knows exactly how I'm feeling without me having to say anything. Recently, my parents made me delete my MySpace account, which really frustrated me.","If you are a counsellor, please answer the questions based on the description of the patient.",train,7654,16,54,61,1,4,4,,False,False,False,[],[],[],[],[],[],train
"It's great that you appreciate recognition from others, as it helps build your self-esteem and decide on potential relationships. Trusting your instincts when meeting new people is essential for personal safety and emotional well-being. Can you share an example of when your intuition helped you avoid a problematic situation?","I've been noticing that I appreciate when someone recognizes my qualities and praises me. It makes me feel valued, and I think this helps me determine whether I want to pursue a relationship with them. When I meet new people, I can often sense if someone might be problematic.","If you are a counsellor, please answer the questions based on the description of the patient.",train,7375,16,49,51,1,3,3,,False,False,False,[],[],[],[],[],[],train
"It sounds like you're acknowledging the need to protect yourself in a world where not everyone can be trusted. Being self-centered and prioritizing your own wellbeing can be necessary, especially when dealing with people who might exploit your vulnerability. It's important, however, to find a healthy balance between self-preservation and connecting with others. Do you feel like this self-protection has interfered with your ability to form genuine relationships?","I feel wicked, but I enjoy it. I'm enjoying thinking about being completely narcissistic, completely self-centered and into pleasure and comfort. In a way, I am being good to myself by keeping that vulnerable part of me away until it's safe because not everybody would be good to me. Not everybody would be kind. There are people who would use me up and not bad an eyelash and not even think about it.","If you are a counsellor, please answer the questions based on the description of the patient.",train,6627,16,74,71,1,5,4,,False,False,False,[],[],[],[],[],[],train
