word,count
i'm,4263
like,3873
feel,3553
been,3477
about,3073
i've,3070
it's,2288
don't,2197
when,2041
just,1699
really,1659
feeling,1656
think,1619
because,1475
want,1370
time,1331
myself,1314
know,1311
am,1251
out,1221
things,1168
more,1141
had,1112
life,1069
get,1065
them,1040
work,1011
up,1005
people,1004
he,993
some,980
can,964
lately,947
from,938
now,895
would,894
going,887
has,876
there,859
her,805
even,776
family,767
she,760
being,758
good,745
sometimes,736
also,735
something,728
go,714
lot,702
all,698
other,660
who,660
make,645
him,645
help,635
find,634
our,632
struggling,617
didn't,617
trying,608
still,604
might,599
school,595
one,589
sure,586
hard,572
always,564
recently,563
back,561
need,558
felt,553
very,552
having,538
by,538
however,534
friends,530
could,525
way,525
where,517
these,517
much,509
situation,503
relationship,494
which,493
doing,482
someone,481
any,474
too,469
better,462
talk,461
down,452
well,450
partner,447
see,445
day,424
patient,422
home,420
right,415
doesn't,413
worried,406
mom,404
through,398
their,396
after,396
never,396
around,390
different,388
before,384
talking,383
take,380
his,380
thought,379
should,379
bit,376
difficult,375
getting,375
into,375
used,374
started,374
say,372
feelings,371
were,370
thoughts,370
try,370
parents,369
made,368
since,358
everything,356
then,356
understand,354
than,351
during,349
thinking,347
will,343
often,341
past,338
there's,328
feels,325
got,322
issues,321
two,318
come,318
anything,316
away,316
last,315
own,315
years,313
seem,312
able,311
others,310
only,308
making,303
haven't,302
off,302
working,299
believe,298
though,296
especially,292
few,286
no,286
noticed,285
job,285
person,282
week,277
new,275
little,274
friend,271
times,270
seems,270
why,268
over,266
mother,265
overwhelmed,262
angry,259
here,256
care,255
part,253
while,253
without,251
days,249
keep,248
makes,246
change,245
told,239
long,239
that's,239
maybe,238
first,238
went,237
same,236
wanted,234
husband,233
quite,229
bad,225
trouble,220
experience,220
relationships,216
certain,216
kids,216
