word,count
it's,9673
can,6880
about,4367
like,4322
important,3729
you're,3452
feel,3323
more,3110
help,2930
any,2877
these,2482
understand,2389
feelings,2307
might,2176
specific,1974
remember,1951
life,1914
great,1910
yourself,1791
situation,1781
sounds,1707
time,1685
when,1640
work,1578
support,1568
being,1450
from,1447
them,1396
there,1375
could,1361
you've,1356
better,1331
try,1276
some,1211
concerns,1197
seems,1192
share,1189
find,1186
would,1162
may,1161
emotions,1158
hear,1104
feeling,1103
relationship,1101
thoughts,1085
make,1082
been,1057
situations,1042
experiences,1041
also,1038
well,1021
their,985
has,972
think,945
way,936
others,929
family,924
focus,911
our,894
self,888
consider,885
other,881
experience,861
explore,857
positive,856
by,851
helpful,847
recognize,823
people,813
through,812
ways,800
during,757
her,751
where,742
difficult,739
counsellor,737
provide,735
open,733
good,731
normal,728
out,723
discuss,723
understandable,722
own,722
need,721
such,702
up,700
take,699
want,687
process,685
together,679
strategies,679
address,674
challenging,671
relationships,671
don't,669
sharing,664
new,660
which,639
please,634
experiencing,631
changes,629
both,618
personal,613
however,608
essential,603
understanding,601
communication,596
those,589
different,584
tell,575
making,574
challenges,573
acknowledge,570
will,566
change,543
natural,536
issues,532
stress,531
know,525
manage,521
balance,515
activities,514
i'm,514
one,510
see,507
discussing,507
who,505
trying,505
keep,504
improve,502
especially,500
while,499
going,498
anxiety,495
cope,494
finding,493
conversation,488
impact,483
between,481
partner,476
growth,470
having,463
thank,461
progress,457
coping,452
seeking,451
aspects,447
care,447
further,443
were,443
continue,436
into,436
let's,435
had,431
his,427
okay,425
towards,423
past,422
made,421
focusing,420
issue,420
approach,411
healthy,405
emotional,402
him,400
maintain,399
sense,394
friends,390
things,389
able,387
taking,385
now,383
significant,383
professional,381
comfortable,379
future,376
since,374
decision,371
identify,368
right,364
someone,363
even,362
tried,360
causing,359
control,358
struggling,356
step,355
goals,353
communicate,351
daily,350
you'd,349
parents,349
instead,349
behavior,346
just,344
information,343
completely,341
appreciate,339
overwhelmed,339
why,336
working,336
guidance,335
expectations,335
still,334
us,330
anger,330
possible,329
actions,329
practice,328
considered,328
perspective,327
times,326
environment,324
express,323
without,323
affecting,320
free,320
something,317
strong,317
needs,312
let,309
ask,306
talking,306
sometimes,306
each,304
mind,303
give,297
school,296
facing,295
than,294
details,289
potential,289
boundaries,287
mental,286
back,284
techniques,283
felt,282
mood,281
trust,278
triggers,274
negative,273
person,273
social,270
concern,270
after,270
health,267
common,265
anything,264
best,263
steps,261
create,261
long,258
crucial,258
seek,252
first,252
current,252
exploring,251
children,251
here,250
overall,250
glad,250
therapy,250
mentioned,246
too,246
experienced,244
additionally,243
there's,243
affected,242
part,242
go,240
down,239
skills,239
journey,239
lead,237
all,236
dealing,235
friend,235
reach,235
day,235
learn,234
over,234
before,233
patterns,230
decisions,230
supportive,230
get,229
due,229
lot,227
fear,227
concerned,225
start,225
effectively,224
particular,224
setting,224
around,220
sessions,220
most,220
building,219
forward,215
use,215
mom,215
aware,214
session,214
healthier,214
values,213
mother,212
maintaining,211
reasons,211
reflect,211
suggest,210
role,210
quite,209
events,208
similar,208
doing,208
learning,207
factors,206
connections,206
come,205
connection,205
he,205
related,204
everyone,204
develop,203
that's,203
stay,202
symptoms,201
rather,201
sleep,199
certain,199
honest,198
confidence,198
worry,198
tasks,195
areas,195
bring,194
talk,193
pressure,193
handle,193
expressing,192
practicing,192
moment,192
considering,192
must,191
thought,191
various,190
regarding,190
next,189
found,189
doesn't,188
build,188
order,187
enjoy,186
plan,185
managing,184
always,181
group,181
questions,180
prioritize,180
husband,180
hard,179
noticed,178
moments,178
job,177
needed,177
conversations,175
counseling,175
set,175
she,174
present,173
encourage,173
using,173
engaging,173
perhaps,170
addressing,170
moving,170
career,169
place,168
routine,167
become,167
gain,167
navigate,166
led,166
acknowledging,166
interests,164
ability,163
hesitate,163
home,163
space,163
affect,162
relaxation,162
face,161
child,161
effort,160
strengths,160
habits,159
very,159
energy,159
makes,159
