index,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,flagged_suicide_in_question,flagged_suicide_in_answer,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found,question_entities_sample,answer_entities_sample
0,60,170,5,10,80.45,68.65,True,True,0,0,0,0,[],[]
1,60,371,5,25,80.45,77.98,True,True,0,0,0,2,[],[]
2,60,60,5,4,80.45,90.09,True,False,0,0,0,0,[],[]
3,60,139,5,6,80.45,49.42,True,True,0,0,0,0,[],[]
4,60,63,5,3,80.45,75.41,True,False,0,0,0,0,[],[]
5,60,57,5,2,80.45,45.81,True,False,0,0,0,0,[],[]
6,60,33,5,2,80.45,46.52,True,False,0,0,0,0,[],[]
7,60,194,5,12,80.45,70.94,True,True,0,0,0,0,[],[]
8,60,117,5,7,80.45,76.35,True,True,0,0,0,0,[],[]
9,60,167,5,12,80.45,66.57,True,False,0,0,0,0,[],[]
10,60,43,5,4,80.45,87.71,True,True,0,0,0,0,[],[]
11,60,147,5,7,80.45,49.7,True,False,0,0,0,0,[],[]
12,60,109,5,7,80.45,60.64,True,False,0,0,0,0,[],[]
13,60,173,5,10,80.45,71.42,True,False,0,0,0,0,[],[]
14,60,378,5,24,80.45,68.2,True,True,0,0,0,0,[],[]
15,60,97,5,9,80.45,86.0,True,True,0,0,0,0,[],[]
16,60,257,5,19,80.45,70.32,True,True,0,0,0,0,[],[]
17,60,169,5,13,80.45,80.51,True,False,0,0,0,0,[],[]
18,60,197,5,9,80.45,57.07,True,False,0,0,0,0,[],[]
19,60,48,5,3,80.45,56.65,True,False,0,0,0,0,[],[]
20,60,98,5,6,80.45,83.21,True,True,0,0,0,0,[],[]
21,60,522,5,35,80.45,81.0,True,True,0,0,0,0,[],[]
22,60,58,5,5,80.45,68.16,True,False,0,0,0,0,[],[]
23,74,275,6,11,68.56,62.1,False,False,0,0,0,0,[],[]
24,74,139,6,6,68.56,57.94,False,False,0,0,0,0,[],[]
25,74,210,6,8,68.56,57.32,False,False,0,0,0,0,[],[]
26,74,43,6,5,68.56,78.09,False,False,0,0,0,0,[],[]
27,74,89,6,5,68.56,59.49,False,False,0,0,0,0,[],[]
28,74,250,6,13,68.56,68.2,False,False,0,0,0,0,[],[]
29,74,49,6,4,68.56,66.64,False,False,0,0,0,0,[],[]
30,74,68,6,4,68.56,58.95,False,False,0,0,0,0,[],[]
31,74,134,6,8,68.56,76.82,False,False,0,0,0,0,[],[]
32,74,28,6,3,68.56,82.55,False,False,0,0,0,0,[],[]
33,74,27,6,2,68.56,67.8,False,False,0,0,0,0,[],[]
34,74,54,6,3,68.56,69.5,False,False,0,0,0,0,[],[]
35,74,84,6,4,68.56,62.65,False,False,0,0,0,0,[],[]
36,74,110,6,4,68.56,60.48,False,False,0,0,0,0,[],[]
37,74,49,6,4,68.56,56.28,False,False,0,0,0,0,[],[]
38,74,179,6,7,68.56,57.05,False,False,0,0,0,0,[],[]
39,74,71,6,6,68.56,78.05,False,False,0,0,0,0,[],[]
40,74,48,6,2,68.56,60.86,False,False,0,0,0,0,[],[]
