,index,Unnamed: 0,questionID,upvotes,views,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found
index,1.0,1.0,0.446,0.051,0.049,-0.105,-0.044,-0.138,-0.041,-0.023,0.013,,,,-0.049
Unnamed: 0,1.0,1.0,0.446,0.051,0.049,-0.105,-0.044,-0.138,-0.041,-0.023,0.013,,,,-0.049
questionID,0.446,0.446,1.0,0.176,0.07,0.094,0.041,0.085,0.069,0.154,0.113,,,,-0.039
upvotes,0.051,0.051,0.176,1.0,0.373,0.117,0.188,0.107,0.18,-0.017,-0.015,,,,0.006
views,0.049,0.049,0.07,0.373,1.0,0.008,0.132,0.005,0.121,-0.036,0.01,,,,0.054
question_word_count,-0.105,-0.105,0.094,0.117,0.008,1.0,0.087,0.931,0.074,0.065,0.074,,,,0.005
answer_word_count,-0.044,-0.044,0.041,0.188,0.132,0.087,1.0,0.092,0.889,-0.022,-0.026,,,,0.222
question_sentence_count,-0.138,-0.138,0.085,0.107,0.005,0.931,0.092,1.0,0.092,0.156,0.085,,,,0.007
answer_sentence_count,-0.041,-0.041,0.069,0.18,0.121,0.074,0.889,0.092,1.0,0.001,0.206,,,,0.195
question_readability,-0.023,-0.023,0.154,-0.017,-0.036,0.065,-0.022,0.156,0.001,1.0,0.13,,,,-0.038
answer_readability,0.013,0.013,0.113,-0.015,0.01,0.074,-0.026,0.085,0.206,0.13,1.0,,,,-0.087
question_emails_found,,,,,,,,,,,,,,,
question_phones_found,,,,,,,,,,,,,,,
answer_emails_found,,,,,,,,,,,,,,,
answer_phones_found,-0.049,-0.049,-0.039,0.006,0.054,0.005,0.222,0.007,0.195,-0.038,-0.087,,,,1.0
