word,count
can,3156
about,2197
may,1672
feel,1640
will,1583
help,1411
there,1404
would,1368
like,1318
when,1275
yourself,1266
more,1265
from,1262
some,1229
relationship,1185
time,1141
who,1136
therapist,1108
he,1091
people,1051
out,1042
one,979
way,947
other,943
know,928
also,915
her,909
them,902
good,878
want,875
life,863
by,853
him,843
then,838
their,799
being,789
get,773
things,768
all,743
these,731
work,715
feeling,709
it's,700
therapy,694
need,691
someone,680
make,679
she,679
person,675
has,673
up,673
very,661
find,656
don't,654
feelings,637
something,623
you're,614
many,613
which,603
because,588
no,586
see,583
first,566
anxiety,560
could,544
might,542
just,535
own,535
our,531
talk,526
best,516
through,515
his,500
take,498
think,491
well,488
important,487
right,482
able,481
than,477
